기준년도,시군명,읍면동명,등록동물수(마리),시군구등록수,대행업체등록수,기타등록수,RFID내장치형수,RFID외부장치형수,RFID인지형수,동물품종수,동물소유자수,소유자등록동물수값,등록대행업체수,데이터기준일자
2021,양평군,용문면,285,33,354,0,218,166,3,46,285,1.36,2,2023-09-11
2021,양평군,지평면,101,13,272,0,218,66,1,26,101,2.82,0,2023-09-11
2021,양평군,청운면,38,0,53,0,28,23,2,14,38,1.39,0,2023-09-11
2021,여주시,가남읍,244,22,222,0,81,160,3,36,165,1.48,,2025-07-16
2021,여주시,가업동,9,7,2,0,1,8,0,4,4,2.25,,2025-07-16
2021,여주시,강천면,148,58,90,0,26,122,0,21,97,1.53,,2025-07-16
2021,여주시,교동,74,9,65,0,29,45,0,16,66,1.12,,2025-07-16
2021,여주시,금사면,75,23,52,0,18,54,3,14,35,2.14,,2025-07-16
2021,여주시,능서면,121,53,68,0,23,84,14,19,73,1.66,,2025-07-16
2021,여주시,능현동,15,1,14,0,6,9,0,6,11,1.36,,2025-07-16
2021,여주시,단현동,3,0,3,0,2,1,0,3,3,1,,2025-07-16
2021,여주시,대신면,228,129,99,0,25,203,0,28,140,1.63,,2025-07-16
2021,여주시,매룡동,6,0,6,0,3,3,0,3,4,1.5,,2025-07-16
2021,여주시,멱곡동,44,16,28,0,7,37,0,15,24,1.83,,2025-07-16
2021,여주시,북내면,103,30,73,0,28,75,0,29,70,1.47,,2025-07-16
2021,여주시,산북면,27,7,20,0,9,18,0,13,21,1.29,,2025-07-16
2021,여주시,삼교동,6,0,6,0,1,5,0,4,6,1,,2025-07-16
2021,여주시,상동,51,19,32,0,9,41,1,18,39,1.31,,2025-07-16
2021,여주시,세종대왕면,4,0,4,0,1,3,0,3,4,1,,2025-07-16
2021,여주시,신진동,3,0,3,0,1,2,0,2,3,1,,2025-07-16
2021,여주시,연라동,22,5,17,0,7,15,0,9,17,1.29,,2025-07-16
2021,여주시,연양동,27,2,25,0,9,18,0,12,22,1.23,,2025-07-16
2021,여주시,오금동,6,0,6,0,2,4,0,4,4,1.5,,2025-07-16
2021,여주시,오학동,92,16,76,0,26,64,2,21,74,1.24,,2025-07-16
2021,여주시,우만동,7,2,5,0,4,3,0,5,4,1.75,,2025-07-16
2021,여주시,월송동,65,8,57,0,24,41,0,18,48,1.35,,2025-07-16
2021,여주시,점동면,109,50,59,0,19,87,3,26,72,1.51,,2025-07-16
2021,여주시,점봉동,106,8,98,0,40,66,0,27,81,1.31,,2025-07-16
2021,여주시,창동,42,1,41,0,25,17,0,14,30,1.4,,2025-07-16
2021,여주시,천송동,95,11,84,0,26,67,2,16,76,1.25,,2025-07-16
2021,여주시,하거동,15,10,5,0,2,13,0,7,4,3.75,,2025-07-16
2021,여주시,하동,66,8,58,0,16,49,1,19,60,1.1,,2025-07-16
2021,여주시,현암동,150,25,125,0,43,104,3,25,113,1.33,,2025-07-16
2021,여주시,홍문동,70,6,64,0,26,44,0,21,59,1.19,,2025-07-16
